PIDN,Gr,path,EV1,EV2,EV3,EV4
test_28,1,/home/cobigo/devel/CPP/NIP/nip/data/test_28.nii.gz,70.765611,95.029591,-29.449781,-7.874434
test_29,1,/home/cobigo/devel/CPP/NIP/nip/data/test_29.nii.gz,54.227502,98.221081,-5.561573,-7.690922
test_30,1,/home/cobigo/devel/CPP/NIP/nip/data/test_30.nii.gz,6.637363,-35.046293,40.974779,24.8466
test_31,1,/home/cobigo/devel/CPP/NIP/nip/data/test_31.nii.gz,-70.326275,20.632955,-143.943776,16.159657
test_32,1,/home/cobigo/devel/CPP/NIP/nip/data/test_32.nii.gz,63.278708,20.201089,73.929078,-34.005174
test_33,1,/home/cobigo/devel/CPP/NIP/nip/data/test_33.nii.gz,39.422304,108.90755,8.442569,13.733673
test_34,1,/home/cobigo/devel/CPP/NIP/nip/data/test_34.nii.gz,-22.505422,-28.741984,-29.336856,-23.755332
test_35,1,/home/cobigo/devel/CPP/NIP/nip/data/test_35.nii.gz,5.248182,13.895436,11.097598,-5.668971
test_36,1,/home/cobigo/devel/CPP/NIP/nip/data/test_36.nii.gz,-67.91908,-22.878963,-78.000087,-4.00089
test_37,1,/home/cobigo/devel/CPP/NIP/nip/data/test_37.nii.gz,22.710531,80.086065,-28.439438,34.477223
test_38,1,/home/cobigo/devel/CPP/NIP/nip/data/test_38.nii.gz,82.942258,14.738053,148.297006,-0.559885
test_39,1,/home/cobigo/devel/CPP/NIP/nip/data/test_39.nii.gz,32.371517,81.502499,18.058092,-14.14874
test_40,1,/home/cobigo/devel/CPP/NIP/nip/data/test_40.nii.gz,96.94936,149.770027,27.775178,-9.709148
test_41,1,/home/cobigo/devel/CPP/NIP/nip/data/test_41.nii.gz,-67.784524,-2.571718,-113.139057,-4.516435
test_42,1,/home/cobigo/devel/CPP/NIP/nip/data/test_42.nii.gz,48.727887,9.64126,53.684421,-9.771975
test_43,1,/home/cobigo/devel/CPP/NIP/nip/data/test_43.nii.gz,38.055442,-1.253237,39.534171,3.023853
test_44,1,/home/cobigo/devel/CPP/NIP/nip/data/test_44.nii.gz,63.461721,-5.536579,137.338989,-17.771219
test_45,1,/home/cobigo/devel/CPP/NIP/nip/data/test_45.nii.gz,68.210564,114.638224,10.621183,-4.267183
test_46,1,/home/cobigo/devel/CPP/NIP/nip/data/test_46.nii.gz,-17.369505,-3.639745,-10.049458,7.550397
test_47,1,/home/cobigo/devel/CPP/NIP/nip/data/test_47.nii.gz,63.48078,16.750579,132.450548,-31.718303
test_48,1,/home/cobigo/devel/CPP/NIP/nip/data/test_48.nii.gz,-59.200741,-74.861043,0.899595,-16.728522
test_49,1,/home/cobigo/devel/CPP/NIP/nip/data/test_49.nii.gz,-41.604326,-97.121513,29.23243,-19.180909
test_50,1,/home/cobigo/devel/CPP/NIP/nip/data/test_50.nii.gz,7.666251,49.648425,11.35755,4.485326
test_51,1,/home/cobigo/devel/CPP/NIP/nip/data/test_51.nii.gz,-35.623682,-64.337105,-5.6163,20.658544
test_52,1,/home/cobigo/devel/CPP/NIP/nip/data/test_52.nii.gz,140.983963,140.901787,141.924746,-13.410685
test_53,1,/home/cobigo/devel/CPP/NIP/nip/data/test_53.nii.gz,77.598118,103.461382,50.895211,20.794246
test_54,1,/home/cobigo/devel/CPP/NIP/nip/data/test_54.nii.gz,100.892578,160.073645,96.133558,28.436024
test_55,1,/home/cobigo/devel/CPP/NIP/nip/data/test_55.nii.gz,67.252061,72.517208,40.109702,-19.621909
test_56,1,/home/cobigo/devel/CPP/NIP/nip/data/test_56.nii.gz,39.996243,33.037547,-10.578486,-12.843168
test_57,1,/home/cobigo/devel/CPP/NIP/nip/data/test_57.nii.gz,-30.932114,-45.037416,14.087932,11.07002
test_58,1,/home/cobigo/devel/CPP/NIP/nip/data/test_58.nii.gz,12.829446,-9.308403,-6.350176,-14.18834
test_59,1,/home/cobigo/devel/CPP/NIP/nip/data/test_59.nii.gz,21.747238,9.533695,61.666882,9.136282
test_60,1,/home/cobigo/devel/CPP/NIP/nip/data/test_60.nii.gz,145.05477,150.667,79.71879,33.877984
test_61,1,/home/cobigo/devel/CPP/NIP/nip/data/test_61.nii.gz,32.175682,110.375117,-86.370645,-14.672831
test_62,1,/home/cobigo/devel/CPP/NIP/nip/data/test_62.nii.gz,109.861783,161.099689,43.903262,40.824013
test_63,1,/home/cobigo/devel/CPP/NIP/nip/data/test_63.nii.gz,25.238041,-43.767074,122.075964,-9.763619
test_64,1,/home/cobigo/devel/CPP/NIP/nip/data/test_64.nii.gz,68.627715,14.347764,96.048903,11.030198
test_65,1,/home/cobigo/devel/CPP/NIP/nip/data/test_65.nii.gz,-92.673958,-28.547116,-115.658099,10.427542
test_66,1,/home/cobigo/devel/CPP/NIP/nip/data/test_66.nii.gz,61.843548,62.07423,147.530259,-7.92214
test_67,1,/home/cobigo/devel/CPP/NIP/nip/data/test_67.nii.gz,58.420045,54.67386,62.870402,-19.34812
test_68,1,/home/cobigo/devel/CPP/NIP/nip/data/test_68.nii.gz,-30.634522,-33.087868,-81.003278,4.169422
test_69,1,/home/cobigo/devel/CPP/NIP/nip/data/test_69.nii.gz,9.404634,125.399614,-96.418726,-20.498224
test_70,1,/home/cobigo/devel/CPP/NIP/nip/data/test_70.nii.gz,14.451622,-36.63475,61.016025,13.3717
test_71,1,/home/cobigo/devel/CPP/NIP/nip/data/test_71.nii.gz,-187.633232,-212.152864,-82.157332,-10.650993
test_72,1,/home/cobigo/devel/CPP/NIP/nip/data/test_72.nii.gz,92.428168,114.261975,59.494919,-7.031152
test_73,1,/home/cobigo/devel/CPP/NIP/nip/data/test_73.nii.gz,68.378121,48.617813,89.500897,-3.205573
test_74,1,/home/cobigo/devel/CPP/NIP/nip/data/test_74.nii.gz,16.548674,96.849974,-49.326491,-18.404943
test_75,1,/home/cobigo/devel/CPP/NIP/nip/data/test_75.nii.gz,-72.584066,-16.849028,-117.421985,-7.827728
test_76,1,/home/cobigo/devel/CPP/NIP/nip/data/test_76.nii.gz,13.912993,-56.767354,46.382429,0.412175
test_77,1,/home/cobigo/devel/CPP/NIP/nip/data/test_77.nii.gz,37.846881,58.149519,51.64167,-20.729158
test_78,1,/home/cobigo/devel/CPP/NIP/nip/data/test_78.nii.gz,30.060906,52.489043,-5.181509,-5.108862
test_79,1,/home/cobigo/devel/CPP/NIP/nip/data/test_79.nii.gz,-206.931102,-176.115289,-109.789062,12.658556
test_80,1,/home/cobigo/devel/CPP/NIP/nip/data/test_80.nii.gz,2.755017,-53.476002,46.140347,8.985513
test_81,1,/home/cobigo/devel/CPP/NIP/nip/data/test_81.nii.gz,-18.516104,44.61902,-87.380469,0.564638
test_82,1,/home/cobigo/devel/CPP/NIP/nip/data/test_82.nii.gz,-38.589058,-80.347444,-16.428826,12.719076
test_83,1,/home/cobigo/devel/CPP/NIP/nip/data/test_83.nii.gz,166.69794,128.838802,187.476974,-14.473986
test_84,1,/home/cobigo/devel/CPP/NIP/nip/data/test_84.nii.gz,-99.687069,-80.047719,-121.920143,-1.722648
test_85,1,/home/cobigo/devel/CPP/NIP/nip/data/test_85.nii.gz,124.418856,121.777673,20.466482,-1.52954
test_86,1,/home/cobigo/devel/CPP/NIP/nip/data/test_86.nii.gz,33.349453,66.877049,-27.678347,-21.461162
test_87,1,/home/cobigo/devel/CPP/NIP/nip/data/test_87.nii.gz,67.540183,18.760862,78.680355,-28.620729
test_88,1,/home/cobigo/devel/CPP/NIP/nip/data/test_88.nii.gz,-167.276187,-65.959989,-240.421197,-0.808654
test_89,1,/home/cobigo/devel/CPP/NIP/nip/data/test_89.nii.gz,15.896102,-9.54702,76.718548,1.029104
test_90,1,/home/cobigo/devel/CPP/NIP/nip/data/test_90.nii.gz,165.298351,209.832504,81.643333,15.658212
test_91,1,/home/cobigo/devel/CPP/NIP/nip/data/test_91.nii.gz,-75.816846,-79.888223,-70.48023,-9.182871
test_92,1,/home/cobigo/devel/CPP/NIP/nip/data/test_92.nii.gz,-19.523964,4.283846,27.108955,-3.502772
test_93,1,/home/cobigo/devel/CPP/NIP/nip/data/test_93.nii.gz,-64.831127,-16.606852,-114.926062,12.649957
test_94,1,/home/cobigo/devel/CPP/NIP/nip/data/test_94.nii.gz,32.937252,93.357837,47.552435,-13.979181
test_95,1,/home/cobigo/devel/CPP/NIP/nip/data/test_95.nii.gz,-33.463186,1.133552,-111.997961,-2.394834
test_96,1,/home/cobigo/devel/CPP/NIP/nip/data/test_96.nii.gz,-31.977029,7.257977,-58.699857,-32.062882
test_97,1,/home/cobigo/devel/CPP/NIP/nip/data/test_97.nii.gz,25.676775,57.966018,-37.830012,4.836668
test_98,1,/home/cobigo/devel/CPP/NIP/nip/data/test_98.nii.gz,25.144226,0.082687,36.50039,-0.152408
test_99,1,/home/cobigo/devel/CPP/NIP/nip/data/test_99.nii.gz,-28.119132,-72.415548,28.165882,6.789075
